Client,Publication kept,Publication dropped,Date kept,Date dropped,MAV in merged row,Method used,Rate-card figure seen,CPM figure seen,Matched on (normalised URL),Why merged
The St. Regis Goa Resort,LocalSamosa,Local Samosa,2026-07-06,2026-07-10,"₹ 1,02,500",Rate card,"₹ 1,02,500","Rs. 32,725",localsamosa.com/news/local-eats-edit-july-second-week-2026-12144111,Identical URL once tracking parameters were stripped
The St. Regis Goa Resort,Travel Turtle,Travel Turtle,2026-07-03,2026-07-06,"₹ 1,80,000",Rate card,"₹ 1,80,000",—,travelturtle.world/news/the-st-regis-goa-resort-unveils-the-new-presidential-villa,Identical URL once tracking parameters were stripped
The St. Regis Goa Resort,Hospibuz,Hospibuzz,2026-07-06,2026-07-06,"₹ 85,000",Rate card,"₹ 85,000",—,hospibuz.com/hotel/hotel-listicles/the-st-regis-goa-resort-unveils-the-newly-renovated-presidential-villa-12130573,Identical URL once tracking parameters were stripped
The St. Regis Goa Resort,BW Hotelier,BW Hotelier,2026-07-06,2026-07-06,"₹ 95,000",Rate card,"₹ 95,000",—,bwhotelier.com/article/st-regis-goa-completes-renovation-of-flagship-presidential-villa-613214,Identical URL once tracking parameters were stripped
The St. Regis Goa Resort,ET Hospitality (Economic Times),ET HospitalityWorld,2026-07-06,2026-07-06,"₹ 2,80,000",Rate card,"₹ 2,80,000",—,hospitality.economictimes.indiatimes.com/news/hotels/the-st-regis-goa-resort-unveils-newly-renovated-presidential-villa/132176916,Identical URL once tracking parameters were stripped
The St. Regis Goa Resort,Travel Heights,Travel Heights,2026-07-06,2026-07-06,"₹ 1,50,000",Rate card,"₹ 1,50,000",—,travelheights.org/st-regis-goa-completes-luxury-makeover-of-flagship-presidential-villa,Identical URL once tracking parameters were stripped
The St. Regis Goa Resort,Peaklife,Peaklife Magazine,2026-07-10,2026-07-15,"₹ 3,50,000",Rate card,"₹ 3,50,000",—,peaklife.in/whats-new-19-exciting-new-launches-in-luxury-gastronomy-horology-and-more,Identical URL once tracking parameters were stripped
The St. Regis Goa Resort,Grazia India (Instagram),Grazia Instagram,2026-07-15,2026-07-17,"₹ 3,50,000",Rate card,"₹ 3,50,000",—,instagram.com/p/da0soxacfm1,Identical URL once tracking parameters were stripped
The St. Regis Goa Resort,Soul of Hospitality (Instagram),SOH Instagram,2026-07-16,2026-07-23,"₹ 1,80,000",Rate card,"₹ 1,80,000",—,instagram.com/p/dbh_k_lfyxu,Identical URL once tracking parameters were stripped
The St. Regis Goa Resort,LocalSamosa (Instagram),Hotels of India,2026-07-14,2026-07-18,"₹ 1,50,000",Rate card,"₹ 1,50,000","Rs. 32,725",instagram.com/p/daswa77cg1a,PUBLICATION MISMATCH — same post credited to two different accounts; one is wrong
The St. Regis Goa Resort,BW Hotelier,BW Hotelier,2026-07-14,2026-07-18,"₹ 95,000",Rate card,"₹ 95,000",—,bwhotelier.com/article/miri-at-the-st-regis-goa-resort-to-host-parsi-heritage-food-showcase-614595,Identical URL once tracking parameters were stripped
