Client,Group,Month,Status,Sent On,Approved On,Deck Link,Notes
Sofitel Mumbai BKC,Hotels,2026-09,Not started,,,,
Sheraton Grand Chennai Resort & Spa,Hotels,2026-09,Not started,,,,
The St. Regis Goa Resort,Hotels,2026-09,Not started,,,,
JW Marriott Kolkata,Hotels,2026-09,Not started,,,,
Raga,Kalra,2026-09,Not started,,,,
Sorena,Independent,2026-09,Not started,,,,
Pali Bhavan,Independent,2026-09,Not started,,,,
Paashh,Independent,2026-09,Not started,,,,
Serious Slice (Bengaluru),Independent,2026-09,Not started,,,,
Masque,Dugar,2026-09,Not started,,,,
Sage & Saffron,Dugar,2026-09,Not started,,,,
TwentySeven BakeHouse,Dugar,2026-09,Not started,,,,
Paradox,Dugar,2026-09,Not started,,,,
Circle 69,Dugar,2026-09,Not started,,,,
The Scarlett House,Udeshi,2026-09,Not started,,,,
Gigi,Udeshi,2026-09,Not started,,,,
Sweeney,Udeshi,2026-09,Not started,,,,
Soraia,Udeshi,2026-09,Not started,,,,
Fielia,Udeshi,2026-09,Not started,,,,
Papaya,Kalra,2026-09,Not started,,,,
Masala Library,Kalra,2026-09,Not started,,,,
Swan,Kalra,2026-09,Not started,,,,
Botie,Kalra,2026-09,Not started,,,,
Louis Burger,Kalra,2026-09,Not started,,,,
Mamma Killa,Kalra,2026-09,Not started,,,,
Ikai,Independent,2026-09,Not started,,,,
Soulinaire (Alibaug),Hotels,2026-09,Not started,,,,
Alter Ego,Independent,2026-09,Not started,,,,
Chicnutrix,Independent,2026-09,Not started,,,,
Rotary Club of Bombay,Independent,2026-09,Not started,,,,
Sofitel Mumbai BKC,Hotels,2026-10,Not started,,,,
Sheraton Grand Chennai Resort & Spa,Hotels,2026-10,Not started,,,,
The St. Regis Goa Resort,Hotels,2026-10,Not started,,,,
JW Marriott Kolkata,Hotels,2026-10,Not started,,,,
Raga,Kalra,2026-10,Not started,,,,
Sorena,Independent,2026-10,Not started,,,,
Pali Bhavan,Independent,2026-10,Not started,,,,
Paashh,Independent,2026-10,Not started,,,,
Serious Slice (Bengaluru),Independent,2026-10,Not started,,,,
Masque,Dugar,2026-10,Not started,,,,
Sage & Saffron,Dugar,2026-10,Not started,,,,
TwentySeven BakeHouse,Dugar,2026-10,Not started,,,,
Paradox,Dugar,2026-10,Not started,,,,
Circle 69,Dugar,2026-10,Not started,,,,
The Scarlett House,Udeshi,2026-10,Not started,,,,
Gigi,Udeshi,2026-10,Not started,,,,
Sweeney,Udeshi,2026-10,Not started,,,,
Soraia,Udeshi,2026-10,Not started,,,,
Fielia,Udeshi,2026-10,Not started,,,,
Papaya,Kalra,2026-10,Not started,,,,
Masala Library,Kalra,2026-10,Not started,,,,
Swan,Kalra,2026-10,Not started,,,,
Botie,Kalra,2026-10,Not started,,,,
Louis Burger,Kalra,2026-10,Not started,,,,
Mamma Killa,Kalra,2026-10,Not started,,,,
Ikai,Independent,2026-10,Not started,,,,
Soulinaire (Alibaug),Hotels,2026-10,Not started,,,,
Alter Ego,Independent,2026-10,Not started,,,,
Chicnutrix,Independent,2026-10,Not started,,,,
Rotary Club of Bombay,Independent,2026-10,Not started,,,,
